Geneid	KQGRcry	MGGQcry	PL4mw	PL4snow	QTsnow1	QTsnow2	Qycry	QYice	QYmw	TGLcry	TGLmw
g905	0	5.317271	0	0	0	0	1093.30872	0	0	2.514102	0
g906	0	0	20.690984	8.155825	0	0	6332.37692	1.102721	12.860543	2.43182	0
g907	0	0	0	0	0	0	1087.02637	0	21.560464	5.43587	0
g908	25.126224	50.344209	0	8.870283	3.113924	317.124197	1292.53121	33.580982	244.774917	112.846941	13.504277
g909	0	0	0	0	0	0	1647.60609	0	0	0	0
g910	0	0	0	0	0	0	1357.52479	0	0	0	0
g911	2281.36936	79.52831	0	7.643078	0	0	1226.39245	318.285507	1569.77493	303.098307	0
g912	22.824368	1.8067	0	0	0	26.400863	1262.66046	8.521912	92.61082	13.667846	0
g913	0	0	0	0	0	0	2619.57792	0	39.567307	0	0
g914	1.9707	0	0	0	0	0	1571.32501	0	8.776314	0	0
g915	0	0	0	0	0	0	2066.93891	0	14.001655	0	0
g916	0	0	7.218909	0	0	0	879.39177	0	33.652006	0	0
g917	65.198035	262.843614	121.673935	82.789076	6.013077	30.691878	2134.05874	101.128649	564.950173	64.692245	38.594182
g918	1.498069	6.22556	22.898345	2.820596	0	0	508.489222	6.864537	310.224767	18.502361	0
g919	0	0	0	0	0	0	1374.26632	0	0	0.969142	0
g920	0	42.948148	0	0	0	0	2327.41827	0	37.586712	4.061332	0
g921	0	0	0	11.681302	0	0	3275.22069	1.579389	18.419703	3.483011	0
g922	0	0	0	0	0	0	976.705595	0	4.710394	0	0
g923	0	0	0	0	0	0	1234.69406	0	0	0	0
g924	2833.38613	18.157705	3.24655	46.389203	6.738615	0	1228.01797	329.17848	1538.65101	430.218461	0
g925	0	0	0	6.526055	0	0	2977.05422	1.764731	56.598483	11.675233	0
g926	0	0	14.324001	0	0	0	1733.85488	0	38.951173	0	0
g927	0	0	0	0	0	0	432.582537	0	0	0	0
g928	0	0	0	0	0	0	1333.66114	0	10.457203	0	0
g929	0	0	0	0	0	0	1463.65043	0.778564	40.860192	0	0
g930	0	0	0	0	0	0	1556.47213	0	0	3.512432	0
g931	0	0	0	0	0	0	4282.71635	0	45.597946	0	0
