seqID	length
seq1828	4635
seq1829	4729
seq1830	4647
seq1831	4599
seq1832	4647
seq1833	4575
seq1834	4669
seq1835	4631
seq1836	4583
seq1837	4661
seq1838	4602
seq1839	4658
seq1840	4633
seq1841	4563
seq1842	4654
seq1843	4654
seq1844	4639
seq1845	4640
seq1846	4617
seq1847	4675
seq1848	4596
seq1849	4596
seq1850	4622
seq1851	4631
seq1852	4592
seq1853	4668
seq1854	4626
seq1855	4589
seq1856	4544
seq1857	4652
seq1858	4669
seq1859	4631
seq1860	4651
seq1861	4557
seq1862	4687
seq1863	4629
seq1864	4655
seq1865	4570
seq1866	4551
seq1867	4666
seq1868	4629
seq1869	4445
seq1870	4618
