Geneid	A05-12-1	A05-12-2	A05-12-3	A05-16-2	A05-16-3	A05-16
Glyma.01G032300	0.419	0.480	0.462	1.805	1.370	1.751
Glyma.01G032400	0.092	0.192	0.100	0.145	0.073	0.149
Glyma.01G032500	10.132	9.398	8.994	8.266	7.943	8.718
Glyma.01G032600	1.424	1.581	1.532	0.094	0.067	0.000
Glyma.01G032700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G032800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G032900	0.390	0.355	0.249	0.390	0.262	0.440
Glyma.01G033000	0.558	0.664	0.530	0.986	0.839	0.900
Glyma.01G033101	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G033200	0.695	0.561	0.565	0.824	0.823	0.840
Glyma.01G033300	0.000	0.000	0.000	0.015	0.005	0.008
Glyma.01G033400	0.000	0.000	0.000	0.574	0.000	0.884
Glyma.01G033500	0.017	0.041	0.044	0.021	0.091	0.044
Glyma.01G033700	1.265	1.905	1.877	0.833	0.551	0.801
Glyma.01G033800	12.583	11.461	12.634	18.176	19.780	19.298
Glyma.01G033900	3.554	3.497	3.220	6.966	6.628	7.523
Glyma.01G034000	16.405	14.992	15.099	0.192	0.082	0.119
Glyma.01G034100	0.623	0.879	0.871	1.521	1.056	1.633
Glyma.01G034200	1.044	0.990	1.277	1.987	1.840	2.103
Glyma.01G034300	1.579	1.929	1.475	2.133	2.207	1.999
Glyma.01G034402	0.175	0.409	0.347	0.353	0.539	0.745
Glyma.01G034500	0.000	0.000	0.000	0.000	0.000	0.038
Glyma.01G034600	0.133	0.090	0.104	0.358	0.333	0.348
Glyma.01G034700	13.589	11.628	13.373	5.029	4.551	5.397
Glyma.01G034800	1.115	1.297	1.173	0.891	0.957	1.056
Glyma.01G034900	6.364	7.077	7.131	0.000	0.014	0.059
Glyma.01G035000	0.075	0.077	0.122	0.032	0.000	0.000
Glyma.01G035100	3.288	3.291	3.225	2.282	1.762	2.163
Glyma.01G035202	0.000	0.000	0.023	0.000	0.000	0.034
Glyma.01G035300	5.040	5.823	5.808	4.298	4.433	4.217
Glyma.01G035350	0.000	0.000	0.252	0.728	0.257	0.374
Glyma.01G035400	0.047	0.211	0.159	0.070	0.071	0.051
Glyma.01G035500	6.363	6.445	7.661	1.187	0.699	0.000
Glyma.01G035600	2.891	2.425	2.956	0.049	0.087	0.177
Glyma.01G035700	4.741	5.244	5.187	7.821	7.081	7.101
Glyma.01G035800	0.565	0.709	0.470	0.300	0.453	0.411
Glyma.01G036000	18.286	18.061	17.618	0.860	0.347	0.273
Glyma.01G036050	0.000	0.000	0.000	0.063	0.000	0.000
Glyma.01G036100	0.000	0.119	0.000	0.248	0.058	0.212
Glyma.01G036200	4.733	3.967	4.699	6.199	5.171	5.935
Glyma.01G036300	0.000	0.000	0.104	1.200	1.696	1.387
Glyma.01G036400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G036500	6.743	7.235	7.074	4.087	3.097	4.367
Glyma.01G036550	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G036600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G036700	4.824	4.365	4.845	5.416	6.182	6.991
Glyma.01G036751	0.737	0.225	0.487	0.705	0.166	0.483
Glyma.01G036800	0.152	0.167	0.081	0.874	1.112	0.678
Glyma.01G036900	0.492	0.621	0.781	1.527	1.508	1.612
Glyma.01G037000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G037100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G037200	0.599	0.355	0.448	2.732	4.254	2.901
Glyma.01G037300	11.817	11.577	11.002	10.862	11.848	11.385
Glyma.01G037400	1.572	2.117	2.131	4.189	3.560	3.749
Glyma.01G037500	0.395	0.362	0.152	0.441	0.290	0.194
Glyma.01G037600	0.009	0.021	0.046	0.320	0.398	0.329
Glyma.01G037700	3.928	3.791	3.523	3.457	2.971	3.995
Glyma.01G037800	1.568	1.276	1.236	0.140	0.050	0.072
Glyma.01G037900	5.653	6.122	5.989	6.605	5.635	6.457
Glyma.01G038002	0.465	0.404	0.345	1.748	1.389	1.523
Glyma.01G038100	4.749	4.593	4.546	8.771	8.068	8.893
Glyma.01G038250	7.043	6.772	6.809	13.647	9.645	12.859
Glyma.01G038300	5.052	5.187	4.072	5.361	4.561	5.252
Glyma.01G038350	0.393	0.240	0.000	0.000	0.000	0.515
Glyma.01G038400	1.291	0.923	1.129	1.017	1.145	0.921
Glyma.01G038500	2.804	2.572	2.531	2.455	2.872	2.301
Glyma.01G038600	39.040	39.062	39.971	19.933	22.810	22.902
Glyma.01G038651	0.052	0.064	0.185	0.067	0.000	0.137
Glyma.01G038700	6.253	5.239	6.355	13.478	9.106	15.099
Glyma.01G038800	9.381	8.709	8.755	11.221	12.782	12.187
Glyma.01G038900	1.756	1.919	1.534	3.005	2.582	3.067
Glyma.01G039000	0.968	1.003	0.695	1.581	1.063	1.261
Glyma.01G039100	5.894	7.711	7.595	11.446	13.321	12.112
Glyma.01G039200	4.280	5.275	4.813	1.456	1.303	1.371
Glyma.01G039300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G039400	0.011	0.039	0.056	0.081	0.029	0.125
Glyma.01G039500	2.351	2.201	1.911	1.921	1.472	2.121
Glyma.01G039600	0.146	0.371	0.107	0.046	0.055	0.032
Glyma.01G039700	0.000	0.000	0.015	0.011	0.000	0.000
Glyma.01G039800	2.152	1.818	1.737	1.552	1.940	1.449
Glyma.01G039900	1.150	1.289	1.466	0.241	0.244	0.337
Glyma.01G040000	14.828	14.432	15.795	24.689	24.721	23.304
