Geneid	log2(fc)	pvalue	FDR
Glyma.02G145500	-0.588079331920336	0.46943503147805	0.706655734973556
Glyma.02G145600	2.16386604281314	4.1848550778752e-05	0.000347514781415752
Glyma.02G145700	2.7011001416092	1.16614806353639e-06	1.36854777075715e-05
Glyma.02G145800	0.379898438554275	0.30165182082338	0.535701324644468
Glyma.02G097332	2.60035960567966	0.0134349971504382	0.0515013984754083
Glyma.02G146000	0.43367977834525	0.245080429587611	0.47168433148178
Glyma.02G146100	0.523542590113097	0.190006961418951	0.394551083866239
Glyma.02G146200	0.461863355399562	0.220982401928686	0.43947743687388
Glyma.02G146300	0.87180942127498	0.0916567465262545	0.233775432298876
Glyma.02G146400	0.993242633824692	0.563446144091306	0.765922822254758
Glyma.02G146500	0.665902629870323	0.109220348006224	0.267301329111755
Glyma.02G146600	-0.50103422796783	0.567321763269305	0.768969651593474
Glyma.02G146700	3.04093138502961	5.00902882690747e-08	7.71832463259534e-07
Glyma.02G146800	0.312247251295085	0.358285797364345	0.598194447104921
Glyma.02G146900	-0.532385997657517	0.531163538730208	0.741924741587601
Glyma.02G147000	0.412247897988422	0.251935576593049	0.480986013167857
Glyma.02G147100	6.00938995903024	2.59301568156585e-13	1.04801441213088e-11
Glyma.02G147200	0.018510141059502	0.695750490930814	0.861564150232653
Glyma.02G147300	2.20779672433714	1.75912756495211e-05	0.000160054470345867
Glyma.02G147400	0.488611244075385	0.199279210776026	0.408641680852293
Glyma.02G147500	4.92283213947754	0.149560117302053	0.333540550963832
Glyma.02G147600	-0.536584867444205	0.576164777658205	0.775897503346974
Glyma.02G147700	6.23521646169403	0.002445403704255	0.012224557256084
Glyma.02G147800	0.276209794581527	0.740310883432419	0.888160750041057
Glyma.02G147900	3.87446911791614	0.274193548387097	0.500846919191387
Glyma.02G148000	2.53549382445686	0.106919235951494	0.262907572818512
Glyma.02G148200	-2.17833724125851	0.0220794730682132	0.0775557540171458
Glyma.02G148300	3.07501335441685	0.000144209570266082	0.00104039896715044
Glyma.02G148400	-2.94075878570855	1.64833233236376e-06	1.88108510566741e-05
Glyma.02G148600	-1.85519434837074	0.0119554766403056	0.0469245560917174
Glyma.02G148900	-1.15785843665582	0.0748202181397835	0.202515202607718
Glyma.02G149000	3.58211076023759	1.19787912446524e-05	0.000112919432186252
Glyma.02G149200	0.00312937451588066	0.707177540768924	0.869595709999771
